Ngay,Doduc_vao_nha_may,pH_Song_SG,pH_vao_nha_may,Man_song_saigon,NH3_song_sai_gon,Mn_vao_nha_may,Fe_vao_nha_may,DO_vao_nha_may,Mau_vao_nha_may_BK,SS_vao_nha_may,Thetich_Jartest_PAC,Nongdo_Jartest_PAC,month,day_of_year,week,sin_month,cos_month,sin_doy,cos_doy,is_dry_season,Doduc_vao_nha_may_lag1,Doduc_vao_nha_may_lag2,Doduc_vao_nha_may_lag3,Doduc_vao_nha_may_lag7,Doduc_vao_nha_may_lag14,Man_song_saigon_lag1,Man_song_saigon_lag2,Man_song_saigon_lag3,Man_song_saigon_lag7,Man_song_saigon_lag14,pH_Song_SG_lag1,pH_Song_SG_lag2,pH_Song_SG_lag3,pH_Song_SG_lag7,pH_Song_SG_lag14,Mn_vao_nha_may_lag1,Mn_vao_nha_may_lag2,Mn_vao_nha_may_lag3,Mn_vao_nha_may_lag7,Mn_vao_nha_may_lag14,Nongdo_Jartest_PAC_lag1,Nongdo_Jartest_PAC_lag2,Nongdo_Jartest_PAC_lag3,Nongdo_Jartest_PAC_lag7,Nongdo_Jartest_PAC_lag14,Doduc_vao_nha_may_roll7_mean,Doduc_vao_nha_may_roll7_std,Doduc_vao_nha_may_roll14_mean,Man_song_saigon_roll7_mean,Man_song_saigon_roll7_std,Man_song_saigon_roll14_mean,Mn_vao_nha_may_roll7_mean,Mn_vao_nha_may_roll7_std,Mn_vao_nha_may_roll14_mean,Nongdo_Jartest_PAC_roll7_mean,Nongdo_Jartest_PAC_roll7_std,Nongdo_Jartest_PAC_roll14_mean,Doduc_log,Doduc_log_lag1
2018-08-29,0.25066666666666665,0.4769236191892069,0.33333333333333237,0.31539815029279306,0.2519841269841269,0.46436651583710414,0.5797101449275363,0.4067796610169491,0.35955831608005523,0.37640449438202245,0.44842801985659125,0.492581602373887,0.6363636363636364,0.6575342465753424,0.6538461538461539,0.06698729810778076,0.24999999999999978,0.07737155767259878,0.23279951196747162,0.0,0.276,0.2508985507246377,0.25022222222222223,0.2102222222222222,0.404,0.30762284823121344,0.31016477390519137,0.30283804696254907,0.29620910353825364,0.2829512166896628,0.46581233516796156,0.45901289270719936,0.44756992856591676,0.4326443231642439,0.4124118358419768,0.48674854557207503,0.4937782805429865,0.5096153846153847,0.4575791855203621,0.5384615384615385,0.4965380811078137,0.4807121661721065,0.5182987141444113,0.47477744807121625,0.6172106824925809,0.23873373078348423,0.11548956375232246,0.2732087348321962,0.2864218849041767,0.024332344938234593,0.2728690716297755,0.5864386321097084,0.08867970009319183,0.6579000015389113,0.5504300234558249,0.07907186916416532,0.6720764555316939,0.49030783488277585,0.5202474708380759
2018-08-30,0.25288888888888894,0.4850497821301169,0.3515981735159817,0.3094669903868445,0.20039682539682538,0.4536199095022625,0.5603864734299517,0.4915254237288135,0.32298136645962733,0.3539325842696629,0.44401544401544396,0.48862512363996025,0.6363636363636364,0.6602739726027397,0.6538461538461539,0.06698729810778076,0.24999999999999978,0.07283495946412084,0.24011402049813307,0.0,0.25066666666666665,0.276,0.2508985507246377,0.22622222222222224,0.384,0.31539815029279306,0.30762284823121344,0.31016477390519137,0.30772253159097723,0.27492670622867355,0.4769236191892069,0.46581233516796156,0.45901289270719936,0.43778536502481963,0.4150652768022739,0.46436651583710414,0.48674854557207503,0.4937782805429865,0.5005656108597286,0.5243212669683258,0.492581602373887,0.4965380811078137,0.4807121661721065,0.47477744807121625,0.6172106824925809,0.24509619415641606,0.09834816117900302,0.25935898565728643,0.28923208943241596,0.025960439940126364,0.2753844390931502,0.5875800127046531,0.08081576144319129,0.6508440928886905,0.5532447224394059,0.07064922913655887,0.6610931048965456,0.493010958168641,0.49030783488277585
2018-08-31,0.24933333333333332,0.5026288284920872,0.39726027397260405,0.31225812446023204,0.19246031746031747,0.4134615384615385,0.4057971014492754,0.3559322033898305,0.2698412698412698,0.3146067415730337,0.4616657473800331,0.5044510385756673,0.6363636363636364,0.663013698630137,0.6538461538461539,0.06698729810778076,0.24999999999999978,0.06842493947613003,0.247505536109266,0.0,0.25288888888888894,0.25066666666666665,0.276,0.28977777777777775,0.368,0.3094669903868445,0.31539815029279306,0.30762284823121344,0.30039580464833493,0.2735311391919798,0.4850497821301169,0.4769236191892069,0.46581233516796156,0.4412680062852106,0.40909503464160496,0.4536199095022625,0.46436651583710414,0.48674854557207503,0.5101809954751132,0.5520361990950227,0.48862512363996025,0.492581602373887,0.4965380811078137,0.5143422354104845,0.6172106824925809,0.2492912249517559,0.08707099833951751,0.24751644650772583,0.2894875625713468,0.026461375549809166,0.2780620883283555,0.5796854635896194,0.10538943449939923,0.6441113556270294,0.5554339327599688,0.06109754795644849,0.6497610764634564,0.4886785451914265,0.493010958168641
2018-09-01,0.20711111111111113,0.48007458032955963,0.37762557077625736,0.30179137168502873,0.18849206349206352,0.3699095022624435,0.463768115942029,0.5254237288135593,0.2612146307798482,0.2752808988764045,0.46828461114175396,0.5103857566765577,0.7272727272727273,0.6657534246575343,0.6538461538461539,0.0,0.4999999999999999,0.06414280449272533,0.25497186853527204,0.0,0.24933333333333332,0.25288888888888894,0.25066666666666665,0.3448888888888889,0.304,0.31225812446023204,0.3094669903868445,0.31539815029279306,0.3024891552033756,0.2717866803961126,0.5026288284920872,0.4850497821301169,0.4769236191892069,0.43463440388446756,0.4027931123608988,0.4134615384615385,0.4536199095022625,0.46436651583710414,0.528846153846154,0.46210407239819007,0.5044510385756673,0.48862512363996025,0.492581602373887,0.5222551928783382,0.6211671612265077,0.2429287615788239,0.08772880722703955,0.23679794497236095,0.29122477991607654,0.02364100029466475,0.2810643011072221,0.5634207901116584,0.1518487915026411,0.6309151905941737,0.5538702111024238,0.05787549786917381,0.6398237592221315,0.43396145810736525,0.4886785451914265
2018-09-02,0.20133333333333334,0.4963269062113811,0.3972602739726021,0.3007446964075084,0.19047619047619044,0.3636877828054299,0.4347826086956522,0.4915254237288135,0.19944789510006902,0.2612359550561798,0.42857142857142855,0.47477744807121625,0.7272727272727273,0.6684931506849315,0.6538461538461539,0.0,0.4999999999999999,0.05998982340291786,0.26251080534071747,0.0,0.20711111111111113,0.24933333333333332,0.25288888888888894,0.25022222222222223,0.3391111111111111,0.30179137168502873,0.31225812446023204,0.3094669903868445,0.30283804696254907,0.26341327817594995,0.48007458032955963,0.5026288284920872,0.4850497821301169,0.44756992856591676,0.3966570301402111,0.3699095022624435,0.4134615384615385,0.4536199095022625,0.5096153846153847,0.46493212669683265,0.5103857566765577,0.5044510385756673,0.48862512363996025,0.5182987141444113,0.5816023738872399,0.2212544358029021,0.044427560334158754,0.22804650926183825,0.29112259066050417,0.024416328179680754,0.2833903398367944,0.5366934611800381,0.1946290510769855,0.6221357012049675,0.5519937451133698,0.049129440845651476,0.6300607808797776,0.42595843370802483,0.43396145810736525
2018-09-03,0.15644444444444447,0.4674707357681477,0.3744292237442938,0.3056291810359366,0.24047619047619043,0.33993212669683265,0.2753623188405797,0.4915254237288135,0.23222912353347136,0.2893258426966292,0.44401544401544396,0.48862512363996025,0.7272727272727273,0.6712328767123288,0.6730769230769231,0.0,0.4999999999999999,0.05596722682463367,0.2701201125759226,0.0,0.20133333333333334,0.20711111111111113,0.24933333333333332,0.2508985507246377,0.2711111111111111,0.3007446964075084,0.30179137168502873,0.31225812446023204,0.31016477390519137,0.26759997928603124,0.4963269062113811,0.48007458032955963,0.5026288284920872,0.45901289270719936,0.4124118358419765,0.3636877828054299,0.3699095022624435,0.4134615384615385,0.4937782805429865,0.4360859728506788,0.47477744807121625,0.5103857566765577,0.5044510385756673,0.4807121661721065,0.5697329376854596,0.21356354601144598,0.06339521070344223,0.21560180710467294,0.29081602289378716,0.02665601171585092,0.2862843647677738,0.5121537783887284,0.21121193018623255,0.6124944214462689,0.545113369820172,0.04732037065502178,0.6206464803353646,0.35871028618500295,0.42595843370802483
2018-09-04,0.284,0.48057210050961496,0.342465753424658,0.2895801601139582,0.3122448979591836,0.3789592760180996,0.30434782608695654,0.4915254237288135,0.27053140096618356,0.29213483146067415,0.48814120242691666,0.5281899109792281,0.7272727272727273,0.673972602739726,0.6730769230769231,0.0,0.4999999999999999,0.05207620674005326,0.277797535438932,0.0,0.15644444444444447,0.20133333333333334,0.20711111111111113,0.276,0.23955555555555558,0.3056291810359366,0.3007446964075084,0.30179137168502873,0.30762284823121344,0.2826023249304893,0.4674707357681477,0.4963269062113811,0.48007458032955963,0.46581233516796156,0.42203055932305417,0.33993212669683265,0.3636877828054299,0.3699095022624435,0.48674854557207503,0.44343891402714936,0.48862512363996025,0.47477744807121625,0.5103857566765577,0.4965380811078137,0.5202769535113747,0.19870462533925726,0.10489330162419819,0.20524460337387093,0.29015179273256697,0.02664592567797149,0.2892324836226969,0.48628248490331666,0.22452305566849612,0.6033378987704098,0.5463643471462081,0.04384031217815822,0.6134985854775699,0.5293229854442916,0.35871028618500295
2018-09-05,0.36,0.49019082399069336,0.33333333333332943,0.29097572715065195,0.4146825396825395,0.40780542986425344,0.3526570048309179,0.423728813559322,0.2815734989648033,0.30337078651685395,0.5168229453943739,0.5539070227497523,0.7272727272727273,0.6767123287671233,0.6730769230769231,0.0,0.4999999999999999,0.04831791614240321,0.2855407989436583,0.0,0.284,0.15644444444444447,0.20133333333333334,0.25066666666666665,0.2102222222222222,0.2895801601139582,0.3056291810359366,0.3007446964075084,0.31539815029279306,0.29620910353825364,0.48057210050961496,0.4674707357681477,0.4963269062113811,0.4769236191892069,0.4326443231642439,0.3789592760180996,0.33993212669683265,0.3636877828054299,0.46436651583710414,0.4575791855203621,0.5281899109792281,0.48862512363996025,0.47477744807121625,0.492581602373887,0.47477744807121625,0.19996313457785922,0.10968850300887042,0.20925902342456945,0.287509470552768,0.043146780317297594,0.2897734228621323,0.4681562740264579,0.18707805278665698,0.5971976423877748,0.5513682564503518,0.06614628102219552,0.6141959410734522,0.6078558085669942,0.5293229854442916
2018-09-06,0.3871111111111111,0.48189882098976383,0.2557077625570751,0.29237129418734575,0.4403174603174602,0.4360859728506788,0.35748792270531404,0.4067796610169491,0.44030365769496205,0.4868913857677903,0.5808052950910093,0.6112759643916911,0.7272727272727273,0.6794520547945205,0.6730769230769231,0.0,0.4999999999999999,0.04469346869429764,0.2933476085940124,0.0,0.36,0.284,0.15644444444444447,0.25288888888888894,0.22622222222222224,0.29097572715065195,0.2895801601139582,0.3056291810359366,0.3094669903868445,0.30772253159097723,0.49019082399069336,0.48057210050961496,0.4674707357681477,0.4850497821301169,0.43778536502481963,0.40780542986425344,0.3789592760180996,0.33993212669683265,0.4536199095022625,0.5005656108597286,0.5539070227497523,0.5281899109792281,0.48862512363996025,0.48862512363996025,0.47477744807121625,0.217162760838752,0.1769173053682302,0.2227876189954233,0.28393284660773627,0.04326403177079611,0.2893677184325557,0.4586447690685859,0.14999897234152348,0.5924577953555654,0.5610633307271305,0.10177442289293832,0.6211694970322765,0.6329993681703576,0.6078558085669942
2018-09-07,0.40755555555555556,0.46630985534801683,0.3333333333333333,0.2951624282607333,0.4023809523809523,0.4824660633484163,0.35748792270531404,0.4576271186440678,0.3837129054520359,0.4157303370786517,0.5432984004412575,0.5776458951533132,0.7272727272727273,0.6821917808219178,0.6730769230769231,0.0,0.4999999999999999,0.04120393839773795,0.30121565106380954,0.0,0.3871111111111111,0.36,0.284,0.24933333333333332,0.28977777777777775,0.29237129418734575,0.29097572715065195,0.2895801601139582,0.31225812446023204,0.30039580464833493,0.48189882098976383,0.49019082399069336,0.48057210050961496,0.5026288284920872,0.4412680062852106,0.4360859728506788,0.40780542986425344,0.3789592760180996,0.4134615384615385,0.5101809954751132,0.6112759643916911,0.5539070227497523,0.5281899109792281,0.5044510385756673,0.5143422354104845,0.23827774917529512,0.2338580667145872,0.23731981957895182,0.28142920984621406,0.0421850343829948,0.2881776521057978,0.4556962025316456,0.13168531646699985,0.5863175389729304,0.580453479280688,0.17375586969735593,0.6331988810612486,0.6511169248301032,0.6329993681703576
2018-09-08,0.444,0.44989168940617663,0.29223744292237575,0.29237129418734575,0.3756613756613756,0.5079185520361992,0.37198067632850246,0.47457627118644063,0.4309868875086266,0.49719101123595505,0.5874241588527302,0.617210682492581,0.7272727272727273,0.684931506849315,0.6730769230769231,0.0,0.4999999999999999,0.037850359275860564,0.30914259488226065,0.0,0.40755555555555556,0.3871111111111111,0.36,0.20711111111111113,0.3448888888888889,0.2951624282607333,0.29237129418734575,0.29097572715065195,0.30179137168502873,0.3024891552033756,0.46630985534801683,0.48189882098976383,0.49019082399069336,0.48007458032955963,0.43463440388446756,0.4824660633484163,0.4360859728506788,0.40780542986425344,0.3699095022624435,0.528846153846154,0.5776458951533132,0.6112759643916911,0.5539070227497523,0.5103857566765577,0.5222551928783382,0.26316826522764397,0.27815149702914665,0.24795803271330277,0.2789255730846918,0.03070327340926467,0.2877719476762213,0.4673002385802494,0.193493081785085,0.5836783059663593,0.5920250195465208,0.18467209997155715,0.6387777258283079,0.6817928393979068,0.6511169248301032
2018-09-09,0.43866666666666665,0.4439214472455077,0.3196347031963478,0.24143309734802298,0.34069264069264066,0.47737556561085975,0.3816425120772947,0.423728813559322,0.5372670807453416,0.5533707865168539,0.5741864313292884,0.6053412462908008,0.7272727272727273,0.6876712328767123,0.6730769230769231,0.0,0.4999999999999999,0.034633725066536225,0.3171260911248334,0.0,0.444,0.40755555555555556,0.3871111111111111,0.20133333333333334,0.25022222222222223,0.29237129418734575,0.2951624282607333,0.29237129418734575,0.3007446964075084,0.30283804696254907,0.44989168940617663,0.46630985534801683,0.48189882098976383,0.4963269062113811,0.44756992856591676,0.5079185520361992,0.4824660633484163,0.4360859728506788,0.3636877828054299,0.5096153846153847,0.617210682492581,0.5776458951533132,0.6112759643916911,0.47477744807121625,0.5182987141444113,0.3004341221262451,0.3027889923460046,0.25691018942636024,0.2775460181344652,0.02920286830683192,0.2869875857790399,0.490508310677457,0.24596874979877423,0.5816854157369076,0.6089132134480063,0.21168558434823098,0.6471459929788971,0.677425567436179,0.6817928393979068
2018-09-10,0.49866666666666665,0.45337433066656696,0.3105022831050241,0.24178198910719642,0.3819047619047618,0.5395927601809956,0.6135265700483092,0.4067796610169491,0.6059351276742581,0.7106741573033708,0.5808052950910093,0.611275964391691,0.7272727272727273,0.6904109589041096,0.6923076923076923,0.0,0.4999999999999999,0.0315549889279013,0.3251637741092943,0.0,0.43866666666666665,0.444,0.40755555555555556,0.15644444444444447,0.2508985507246377,0.24143309734802298,0.29237129418734575,0.2951624282607333,0.3056291810359366,0.31016477390519137,0.4439214472455077,0.44989168940617663,0.46630985534801683,0.4674707357681477,0.45901289270719936,0.47737556561085975,0.5079185520361992,0.4824660633484163,0.33993212669683265,0.4937782805429865,0.6053412462908008,0.617210682492581,0.5776458951533132,0.48862512363996025,0.4807121661721065,0.3377698962047684,0.28423358596551074,0.27393133044132173,0.2688599314108166,0.10341721821686528,0.28222732047200827,0.5096264356427797,0.2407581783315331,0.5786152875455902,0.6295543393275996,0.18102860983362204,0.6548169045336039,0.7243840629540876,0.677425567436179
2018-09-11,0.5106666666666667,0.44773576862593556,0.3059360730593593,0.24666647373562464,0.33999999999999997,0.5497737556561086,0.5845410628019324,0.5423728813559322,0.6628709454796411,0.7443820224719101,0.6028681742967457,0.6310583580613249,0.7272727272727273,0.6931506849315069,0.6923076923076923,0.0,0.4999999999999999,0.028615063155918517,0.33325326209670697,0.0,0.49866666666666665,0.43866666666666665,0.444,0.284,0.276,0.24178198910719642,0.24143309734802298,0.29237129418734575,0.2895801601139582,0.30762284823121344,0.45337433066656696,0.4439214472455077,0.44989168940617663,0.48057210050961496,0.46581233516796156,0.5395927601809956,0.47737556561085975,0.5079185520361992,0.3789592760180996,0.48674854557207503,0.611275964391691,0.6053412462908008,0.617210682492581,0.5281899109792281,0.4965380811078137,0.3916061247449613,0.1855085406875029,0.29631084952395476,0.2595096145259479,0.12338746636268519,0.2769261159255411,0.5432020481440677,0.22412729323827324,0.5829781012911466,0.6489444878811571,0.12926024409944376,0.6663232718656639,0.7332432572609145,0.7243840629540876
2018-09-12,0.5266666666666666,0.4170553575224969,0.570776255707761,0.23410637040538068,0.40476190476190466,0.5808823529411765,0.6473429951690822,0.4576271186440678,0.5017253278122843,0.5674157303370787,0.6447876447876447,0.6686449060336296,0.7272727272727273,0.6958904109589041,0.6923076923076923,0.0,0.4999999999999999,0.025814818914042595,0.3413921579971959,0.0,0.5106666666666667,0.49866666666666665,0.43866666666666665,0.36,0.25066666666666665,0.24666647373562464,0.24178198910719642,0.24143309734802298,0.29097572715065195,0.31539815029279306,0.44773576862593556,0.45337433066656696,0.4439214472455077,0.49019082399069336,0.4769236191892069,0.5497737556561086,0.5395927601809956,0.47737556561085975,0.40780542986425344,0.46436651583710414,0.6310583580613249,0.611275964391691,0.6053412462908008,0.5539070227497523,0.492581602373887,0.4272638865053487,0.14703166912124702,0.3175069873916428,0.25322497530824917,0.13243435327906566,0.27220062528390176,0.5719267931168409,0.204853567665353,0.588979855650113,0.6652071931196246,0.09916944952231149,0.6781783169956653,0.7448041724002792,0.7332432572609145
